"","Cepa","Linea","Campo","Amastigotes","Celulas Totales","Amas.por.célula","Porcentaje","Amas.por.célula.infectada","Method"
"1","Dm","AC16",1,118,35,3.37142857142857,57.1428571428571,5.9,"Manual"
"2","Dm","AC16",2,121,46,2.6304347826087,43.4782608695652,6.05,"Manual"
"3","Dm","AC16",3,90,51,1.76470588235294,37.2549019607843,4.73684210526316,"Manual"
"4","Dm","AC16",4,32,33,0.96969696969697,27.2727272727273,3.55555555555556,"Manual"
"5","Dm","AC16",5,95,40,2.375,55,4.31818181818182,"Manual"
"6","Dm","BeWo",1,236,24,9.83333333333333,91.6666666666667,10.7272727272727,"Manual"
"7","Dm","BeWo",2,43,12,3.58333333333333,75,4.77777777777778,"Manual"
"8","Dm","BeWo",3,99,32,3.09375,40.625,7.61538461538461,"Manual"
"9","Dm","BeWo",4,17,5,3.4,80,4.25,"Manual"
"10","Dm","BeWo",5,164,21,7.80952380952381,66.6666666666667,11.7142857142857,"Manual"
"11","Dm","Caco2",1,43,20,2.15,25,8.6,"Manual"
"12","Dm","Caco2",2,21,3,7,100,7,"Manual"
"13","Dm","Caco2",3,1,7,0.142857142857143,14.2857142857143,1,"Manual"
"14","Dm","Caco2",4,4,1,4,100,4,"Manual"
"15","Dm","Caco2",5,0,1,0,0,NA,"Manual"
"16","Dm","HeLa",1,75,56,1.33928571428571,26.7857142857143,5,"Manual"
"17","Dm","HeLa",2,49,24,2.04166666666667,50,4.08333333333333,"Manual"
"18","Dm","HeLa",3,50,38,1.31578947368421,21.0526315789474,6.25,"Manual"
"19","Dm","HeLa",4,58,36,1.61111111111111,30.5555555555556,5.27272727272727,"Manual"
"20","Dm","HeLa",5,88,59,1.49152542372881,22.0338983050847,6.76923076923077,"Manual"
"21","Dm","THP1",1,20,5,4,80,5,"Manual"
"22","Dm","THP1",2,5,3,1.66666666666667,100,1.66666666666667,"Manual"
"23","Dm","THP1",3,0,4,0,0,NA,"Manual"
"24","Dm","THP1",4,2,4,0.5,25,2,"Manual"
"25","Dm","Vero",1,68,28,2.42857142857143,32.1428571428571,7.55555555555556,"Manual"
"26","Dm","Vero",2,149,16,9.3125,100,9.3125,"Manual"
"27","Dm","Vero",3,64,13,4.92307692307692,38.4615384615385,12.8,"Manual"
"28","Dm","Vero",4,66,12,5.5,50,11,"Manual"
"29","Dm","Vero",5,74,8,9.25,62.5,14.8,"Manual"
"30","Tul","AC16",1,195,41,4.75609756097561,43.9024390243902,10.8333333333333,"Manual"
"31","Tul","AC16",2,93,43,2.16279069767442,32.5581395348837,6.64285714285714,"Manual"
"32","Tul","AC16",3,31,34,0.911764705882353,20.5882352941176,4.42857142857143,"Manual"
"33","Tul","AC16",4,152,29,5.24137931034483,55.1724137931034,9.5,"Manual"
"34","Tul","AC16",5,93,33,2.81818181818182,48.4848484848485,5.8125,"Manual"
"35","Tul","BeWo",1,168,15,11.2,93.3333333333333,12,"Manual"
"36","Tul","BeWo",2,64,16,4,68.75,5.81818181818182,"Manual"
"37","Tul","BeWo",3,256,25,10.24,72,14.2222222222222,"Manual"
"38","Tul","BeWo",4,119,28,4.25,46.4285714285714,9.15384615384615,"Manual"
"39","Tul","BeWo",5,97,25,3.88,36,10.7777777777778,"Manual"
"40","Tul","Caco2",1,30,17,1.76470588235294,47.0588235294118,3.75,"Manual"
"41","Tul","Caco2",2,18,19,0.947368421052632,21.0526315789474,4.5,"Manual"
"42","Tul","Caco2",3,23,9,2.55555555555556,33.3333333333333,7.66666666666667,"Manual"
"43","Tul","Caco2",4,29,8,3.625,50,7.25,"Manual"
"44","Tul","Caco2",5,33,24,1.375,16.6666666666667,8.25,"Manual"
"45","Tul","HeLa",1,140,40,3.5,52.5,6.66666666666667,"Manual"
"46","Tul","HeLa",2,55,20,2.75,40,6.875,"Manual"
"47","Tul","HeLa",3,51,39,1.30769230769231,41.025641025641,3.1875,"Manual"
"48","Tul","HeLa",4,54,42,1.28571428571429,30.952380952381,4.15384615384615,"Manual"
"49","Tul","HeLa",5,71,28,2.53571428571429,28.5714285714286,8.875,"Manual"
"50","Tul","THP1",1,8,5,1.6,20,8,"Manual"
"51","Tul","THP1",2,0,2,0,0,NA,"Manual"
"52","Tul","THP1",3,24,4,6,75,8,"Manual"
"53","Tul","THP1",4,62,4,15.5,100,15.5,"Manual"
"54","Tul","THP1",5,0,3,0,0,NA,"Manual"
"55","Tul","Vero",1,88,28,3.14285714285714,42.8571428571429,7.33333333333333,"Manual"
"56","Tul","Vero",2,93,19,4.89473684210526,68.4210526315789,7.15384615384615,"Manual"
"57","Tul","Vero",3,85,31,2.74193548387097,38.7096774193548,7.08333333333333,"Manual"
"58","Tul","Vero",4,76,22,3.45454545454545,50,6.90909090909091,"Manual"
"59","Tul","Vero",5,68,24,2.83333333333333,50,5.66666666666667,"Manual"
