Cepa,Linea,Campo,Amastigotes_totales,Amstigotes_Reales,Amastigotes_Falsos,Porcentaje,Notas
Dm,AC16,1,102,101,1,99.02,
Dm,AC16,2,120,114,6,95,
Dm,AC16,3,73,70,3,95.89,
Dm,AC16,4,21,20,1,95.24,
Dm,AC16,5,64,60,4,93.75,
Dm,BeWo,1,238,237,1,99.58,
Dm,BeWo,2,42,42,0,100,
Dm,BeWo,3,99,96,3,96.97,
Dm,BeWo,4,17,16,1,94.12,
Dm,BeWo,5,152,156,-4,100,
Dm,Caco2,1,45,42,3,93.33,
Dm,Caco2,2,23,21,2,91.3,
Dm,Caco2,3,7,2,5,28.57,
Dm,Caco2,4,4,4,0,100,
Dm,Caco2,5,3,5,-2,100,
Dm,HeLa,1,77,75,2,97.4,
Dm,HeLa,2,50,49,1,98,
Dm,HeLa,3,63,57,6,90.48,
Dm,HeLa,4,69,62,7,89.86,
Dm,HeLa,5,104,96,8,92.31,
Dm,THP1,1,24,21,3,87.5,
Dm,THP1,2,5,5,0,100,
Dm,THP1,3,0,0,0,100,None detected
Dm,THP1,4,0,0,0,100,None detected
Dm,THP1,5,2,2,0,100,
Dm,Vero,1,64,64,0,100,
Dm,Vero,2,150,151,-1,100,
Dm,Vero,3,63,63,0,100,
Dm,Vero,4,72,70,2,97.22,
Dm,Vero,5,74,71,3,95.95,
Tul,AC16,1,179,175,4,97.77,
Tul,AC16,2,90,89,1,98.89,
Tul,AC16,3,28,28,0,100,
Tul,AC16,4,131,128,3,97.71,
Tul,AC16,5,92,91,1,98.91,
Tul,BeWo,1,169,163,6,96.45,
Tul,BeWo,2,65,63,2,96.92,
Tul,BeWo,3,265,265,0,100,
Tul,BeWo,4,111,109,2,98.2,
Tul,BeWo,5,112,110,2,98.21,
Tul,Caco2,1,30,30,0,100,
Tul,Caco2,2,19,17,2,89.47,
Tul,Caco2,3,21,21,0,100,
Tul,Caco2,4,28,28,0,100,
Tul,Caco2,5,36,29,7,80.56,
Tul,HeLa,1,137,133,4,97.08,
Tul,HeLa,2,57,57,0,100,
Tul,HeLa,3,52,47,5,90.38,
Tul,HeLa,4,46,44,2,95.65,
Tul,HeLa,5,57,53,4,92.98,
Tul,THP1,1,1,0,1,0,
Tul,THP1,2,1,1,0,100,
Tul,THP1,3,23,23,0,100,
Tul,THP1,4,15,15,0,100,
Tul,THP1,5,0,0,0,100,None detected
Tul,Vero,1,69,60,9,86.96,
Tul,Vero,2,54,45,9,83.33,
Tul,Vero,3,80,78,2,97.5,
Tul,Vero,4,69,66,3,95.65,
Tul,Vero,5,63,62,1,98.41,
