Cepa,Linea,Campo,Nucleos_totales,Nucleos_equivocados,Superposicion
Dm,AC16,1,35,14,1.286
Dm,AC16,2,46,13,2.157
Dm,AC16,3,51,22,1.012
Dm,AC16,4,32,8,2.465
Dm,AC16,5,40,24,4.753
Dm,BeWo,1,24,19,3.252
Dm,BeWo,2,13,6,0.902
Dm,BeWo,3,31,11,1.038
Dm,BeWo,4,5,4,2.211
Dm,BeWo,5,18,13,8.627
Dm,Caco2,1,19,2,0.21
Dm,Caco2,2,3,2,1.771
Dm,Caco2,3,7,1,0.043
Dm,Caco2,4,1,0,0
Dm,HeLa,1,57,8,0.436
Dm,HeLa,2,25,6,0.702
Dm,HeLa,3,39,8,0.834
Dm,HeLa,4,36,8,0.606
Dm,HeLa,5,61,14,1.011
Dm,THP1,1,4,3,0.629
Dm,THP1,2,3,0,0.554
Dm,THP1,5,4,0,0
Dm,Vero,1,26,5,1.691
Dm,Vero,2,14,10,2.695
Dm,Vero,3,13,3,0.854
Dm,Vero,4,11,6,6.722
Dm,Vero,5,8,2,0.394
Tul,AC16,1,41,12,1.158
Tul,AC16,2,43,9,0.374
Tul,AC16,3,33,3,0.055
Tul,AC16,4,29,15,3.478
Tul,AC16,5,33,18,2.849
Tul,BeWo,1,15,9,0.401
Tul,BeWo,2,16,5,0.614
Tul,BeWo,3,25,17,2.475
Tul,BeWo,4,28,8,0.291
Tul,BeWo,5,25,9,0.76
Tul,Caco2,1,17,5,0.47
Tul,Caco2,2,20,2,0.028
Tul,Caco2,3,8,0,0.067
Tul,Caco2,4,8,0,0.283
Tul,Caco2,5,19,2,0.181
Tul,HeLa,1,40,15,0.643
Tul,HeLa,2,20,9,0.385
Tul,HeLa,3,39,10,1.134
Tul,HeLa,4,40,11,1.097
Tul,HeLa,5,30,12,7.896
Tul,THP1,1,4,2,7.571
Tul,THP1,2,2,1,85.43
Tul,THP1,3,4,1,0.449
Tul,THP1,4,2,1,1.974
Tul,THP1,5,2,0,4.91
Tul,Vero,1,27,12,3.148
Tul,Vero,2,18,5,2.593
Tul,Vero,3,31,13,2.233
Tul,Vero,4,20,8,3.621
Tul,Vero,5,24,10,3.321
